pos	ID	unit	st	end	days	utmx	utmy	lat	long	z	comments	year	site
A	S107A0	35	2007-08-24 11:00:19	2007-10-12 11:25:00	49.0171412037016	586008.786959497	7855751.19252317	70.791	150.6573	21.9456	NA	2007	1
C	S107C0	33	2007-08-24 11:00:16	2007-10-12 15:30:00	49.1873148148152	585730.10117467	7862868.5357731	70.8549	150.6574	23.8	NA	2007	1
D	S107D0	30	2007-08-24 11:00:24	2007-11-19 05:00:59	86.8	591744.645194378	7866635.70413511	70.8865	150.489	23.7744	Recorded until 19 Nov. 2007	2007	1
E	S107E0	32	2007-08-24 11:00:19	2007-11-19 05:00:59	86.8	585657.433174016	7869887.85747217	70.9178	150.6519	21.9456	Recorded until 19 Nov. 2007	2007	1
F	S107F0	34	2007-08-24 12:00:24	2007-11-19 06:01:00	86.8	591391.419689189	7873645.20096715	70.9494	150.4907	23.7744	Recorded until 19 Nov. 2007	2007	1
A	S108A0	7	2008-08-17 07:55:17	2008-10-08 05:47:06	51.9109846913561	585997.566427818	7855860.8913049	70.792	150.6575	20.1	NA	2008	1
B	S108B0	42	2008-08-17 09:20:16	2008-10-08 06:25:29	51.8786212345658	591848.928142685	7859547.84923261	70.823	150.4941	20.4	Some bearing inconsistencies	2008	1
C	S108C0	41	2008-08-17 10:10:20	2008-10-08 10:21:58	52.0080750617271	585696.031616612	7862890.6598077	70.8551	150.6583	21	NA	2008	1
D	S108D0	44	2008-08-17 11:30:20	2008-10-08 09:22:09	51.9109846913561	591597.077277314	7866568.5670511	70.8859	150.4931	22.9	NA	2008	1
E	S108E0	43	2008-08-17 12:45:25	2008-10-08 04:24:25	51.6520770370335	585417.856011309	7869900.91087869	70.918	150.6585	20.4	NA	2008	1
G	S108G0	46	2008-08-17 17:10:23	2008-10-08 04:09:45	51.4578962962987	585359.908201275	7877035.07378761	70.9819	150.6525	15.5	NA	2008	1
H	S108H0	56	2008-08-12 04:00:22	2008-10-08 14:41:21	57.4451358024671	601188.719215007	7843127.124	70.6723	150.2599	16.2	NA	2008	1
I	S108I0	55	2008-08-12 04:00:18	2008-10-08 14:41:17	57.4451358024671	604290.571150939	7849567.111	70.7287	150.1679	18.9	NA	2008	1
J	S108J0	53	2008-08-12 05:00:16	2008-10-08 14:54:40	57.4127723456768	608033.752060762	7843459.78	70.6724	150.0744	15.2	NA	2008	1
K	S108K0	60	2008-08-12 05:00:18	2008-10-08 14:08:05	57.3804088888864	611046.708937368	7849879.829	70.7285	149.9843	18.7	NA	2008	1
A	S109A0	38	2009-08-26 05:45:21	2009-10-04 16:54:59	39.4650231481501	586073	7855905	70.7924	150.6553	20.7	NA	2009	1
B	S109B0	39	2009-08-26 06:30:24	2009-10-04 21:49:59	39.638611111106	591965	7859644	70.8238	150.4908	23.1	NA	2009	1
C	S109C0	5	2009-08-26 07:00:18	2009-10-04 17:39:59	39.4442245370374	585783	7862904	70.8552	150.6559	22.1	NA	2009	1
D	S109D0	8	2009-08-26 11:40:19	2009-10-04 21:14:59	39.3990856481469	591622	7866618	70.8864	150.4923	23.6	NA	2009	1
E	S109E0	27	2009-08-26 08:45:24	2009-10-04 18:53:59	39.4226273148161	585461	7869845	70.9175	150.6574	20.6	NA	2009	1
F	S109F0	35	2009-08-26 09:05:23	2009-10-04 20:19:59	39.4684837962923	591396	7873636	70.9493	150.4905	22.7	Some blocks on disk were bad	2009	1
G	S109G0	17	2009-08-26 09:30:18	2009-08-30 19:08:22	4.40143518518744	585287	7876982	70.9815	150.6545	16	Stopped part way through the season	2009	1
A	S110A0	38	2010-08-06 16:00:23	2010-10-06 22:18:00	61.2622337962966	586031	7855905	70.7924	150.6565	20.2	NA	2010	1
B	S110B0	39	2010-08-06 15:30:19	2010-09-30 11:39:59	54.8400578703659	591957	7859670	70.824	150.491	25.8	NA	2010	1
C	S110C0	32	2010-08-06 15:40:24	2010-09-30 11:00:59	54.8059606481474	585724	7862892	70.8551	150.6575	21.8	NA	2010	1
D	S110D0	35	2010-08-06 16:32:26	2010-09-30 10:24:00	54.7441435185174	591713	7866648	70.8866	150.4898	26.3	NA	2010	1
E	S110E0	31	2010-08-06 17:00:24	2010-09-30 09:40:00	54.6941550925985	585467	7869925	70.9182	150.6571	20.3	NA	2010	1
F	S110F0	41	2010-08-06 17:30:22	2010-09-30 09:03:00	54.6476620370377	591444	7873648	70.9494	150.4892	22.1	NA	2010	1
G	S110G0	40	2010-08-06 18:00:20	2010-10-06 18:43:00	61.0296180555597	585218	7876926	70.981	150.6565	18.7	NA	2010	1
A	S111A0	12	2011-07-26 20:00:18	2011-10-05 05:03:00	70.3768750000017	586037.732645324	7856005.91128563	70.7933	150.6562	19.7	NA	2011	1
B	S111B0	13	2011-07-26 23:30:23	2011-10-05 03:52:00	70.1816782407404	591951.074178245	7859647.18489658	70.8238	150.4912	21.3	NA	2011	1
C	S111C0	8	2011-07-26 20:45:16	2011-10-05 03:14:00	70.2699421296347	585738.964397784	7862881.37837329	70.855	150.6571	21.4	NA	2011	1
D	S111D0	44	2011-07-26 22:30:19	2011-10-05 02:22:00	70.1608912037045	591708.86043277	7866647.83969846	70.8866	150.4899	22.7	End of year calibration failed, calls localized all year	2011	1
E	S111E0	43	2011-07-26 21:20:22	2011-10-05 01:46:00	70.1844675925895	585496.686963653	7869904.18049943	70.918	150.6563	20	NA	2011	1
F	S111F0	46	2011-07-26 21:45:25	2011-10-05 00:29:00	70.1135879629655	591431.680036333	7873602.4365919	70.949	150.4896	22.4	NA	2011	1
G	S111G0	3	2011-07-26 21:30:19	2011-10-05 01:09:00	70.1518518518569	585233.604707882	7876892.73606198	70.9807	150.6561	14.7	Omni channel only, no bearings	2011	1
D	S112D0	18	2012-08-21 19:30:22	2012-10-03 02:45:00	42.3018287037048	591706.03545	7866636.55914	70.8865	150.49	23.7	NA	2012	1
E	S112E0	4	2012-08-21 19:50:24	2012-10-03 02:03:59	42.2594328703708	585499.96867	7869904.30744	70.918	150.6562	20.6	NA	2012	1
F	S112F0	21	2012-08-21 20:50:17	2012-10-03 01:07:00	42.1782754629603	591433.93473	7873636.02092	70.9493	150.4895	22.6	NA	2012	1
D	S113D0	6	2013-08-08 16:45:23	2013-10-03 04:15:00	55.4788888888943	591657.3134	7866567.56	70.8859	150.4914	23.6	NA	2013	1
E	S113E0	14	2013-08-08 16:15:19	2013-10-03 04:50:59	55.5247800925863	585525.7466	7869923.912	70.9182	150.6555	20.5	TURNED Sept 1.  Different reference bearing after that	2013	1
F	S113F0	46	2013-08-08 15:45:19	2013-10-03 03:30:59	55.4900578703673	591356.5587	7873670.024	70.9496	150.4916	22.5	NA	2013	1
D	S114D0	10	2014-08-11 04:00:21	2014-09-28 19:07:00	48.629618055551	591691.52468528	7866624.79460916	70.8863833333333	150.490416666667	23.8	NA	2014	1
E	S114E0	19	2014-08-11 04:30:24	2014-09-28 17:26:59	48.5393055555542	585526.288894641	7869894.16345421	70.9179	150.655483333333	20.7	NA	2014	1
F	S114F0	32	2014-08-11 03:00:24	2014-09-28 18:14:59	48.635138888887	591414.348281112	7873668.70016792	70.9495833333333	150.489983333333	23	NA	2014	1
