"bearing_1","bearing_2","bearing_3","bearing_4","bearing_5","bearing_6"
-1,-1,-1,-1,85.74,48.29
21.33,355.32,27.87,-1,71.94,153.18
-1,-1,23.15,304.29,-1,-1
284.38,266.25,289.07,271.75,265.56,261.15
-1,113.04,-1,106.81,111.82,-1
301.96,288.54,291.96,275.86,-1,-1
-1,273.19,281.65,-1,271.16,270.88
-1,-1,116.82,115.16,-1,-1
296.96,288.82,291.36,277.28,275.15,273.57
-1,-1,73.42,-1,84.94,-1
104.76,107.01,104.21,101.25,107.9,116.1
-1,-1,-1,99.37,98.16,-1
-1,-1,-1,274.92,266.04,-1
297.91,289.75,287.21,-1,266.36,110.18
103.3,106.2,106.2,100.39,105.94,117.41
-1,-1,-1,226.32,106.09,-1
-1,103.93,-1,100.43,-1,-1
-1,-1,-1,-1,190.68,197.44
308.48,277.64,213.83,-1,-1,-1
278.06,260.07,219.06,237.37,139.57,202.55
278.18,261,232.83,-1,-1,-1
277.73,263.87,214.46,238.78,201.73,201.48
-1,258.36,-1,238.51,-1,-1
-1,-1,222.43,241.43,-1,-1
-1,-1,-1,243.41,198.16,-1
308.84,-1,226.12,-1,-1,-1
-1,276.55,-1,243.51,-1,-1
-1,273.45,224.03,-1,-1,-1
99.16,101.56,106.65,102.34,112.35,128.56
-1,99.18,-1,98.62,-1,-1
-1,-1,-1,-1,152.1,120.27
299.48,286.17,268.49,261.48,233.73,218.74
-1,284.04,-1,260.5,-1,-1
350.01,-1,292.6,271.43,268.57,-1
300.49,294.71,294.29,267.34,-1,-1
-1,-1,109.94,100.01,105.23,125.11
-1,-1,-1,-1,100.95,117.43
-1,58.08,-1,70.26,-1,-1
41.9,4.75,196.51,183.64,141.67,-1
-1,-1,105.45,227.6,-1,-1
278.47,-1,216.49,-1,198.99,203.21
94.2,241.41,134.77,238.02,-1,-1
-1,88.75,227.82,86.01,-1,-1
306.47,274.47,287.74,280.25,87.19,99.49
-1,-1,288.99,-1,285.92,-1
306.66,256.12,98.9,105.04,-1,-1
-1,-1,225.33,-1,94.61,-1
-1,273.26,229.58,238.89,197.31,-1
-1,-1,-1,238.18,195.44,-1
-1,260.07,217.9,238.88,204.53,205.98
-1,-1,290.58,-1,282.52,-1
302.47,292.27,291.47,275.41,266.74,-1
100.61,-1,119.25,107.01,-1,-1
295.86,285.52,293.36,276.58,274.35,-1
96.09,104.45,108.62,99.35,107.82,125.17
297.66,101.38,255.65,99.37,108.12,122.6
-1,99.84,115.58,98.6,269.96,-1
108.41,123.21,135.41,260.04,250.32,-1
98.52,288.44,290.63,265.09,273.78,-1
112.63,-1,120.55,115.18,121.28,-1
-1,-1,-1,273.4,272.1,-1
-1,118.43,121.45,-1,-1,-1
106.92,115.67,120.02,-1,113.41,-1
-1,258.6,243.18,-1,-1,-1
-1,132.75,-1,125.41,-1,-1
295.94,286.05,290.67,274.74,273.05,272.32
111.71,139.72,-1,-1,-1,-1
-1,-1,171.93,222.94,140.98,150.3
307.92,271.2,116.33,199.77,199.86,-1
-1,272.77,224.88,241.63,203.18,202.53
289.28,259.83,220.35,235.71,203.17,203.59
113.91,142.3,-1,-1,-1,-1
-1,142.9,137.26,-1,-1,-1
52.03,67.87,81.56,-1,-1,-1
-1,347.5,35.56,327.76,27.21,157.61
297.78,280.67,267.06,-1,232.47,-1
-1,69.35,-1,259.44,231.55,-1
60.19,-1,65.44,-1,73.99,272.55
294.71,284.87,293.46,-1,-1,-1
93.07,107.7,118.08,125.53,124.89,-1
113.63,140.57,135.94,122.42,138.17,167.03
-1,109.59,110.47,104.22,109.52,-1
-1,-1,-1,104.02,105.63,124.38
-1,346.78,18.76,317.02,-1,-1
-1,118.57,-1,327.06,-1,-1
110.42,103.42,106.68,-1,-1,-1
15.56,346.57,18.66,321.52,-1,-1
-1,-1,-1,-1,109.49,114.15
-1,-1,280.55,-1,269.62,-1
100.12,106.87,113.39,105.21,-1,-1
-1,-1,-1,347.63,58.41,-1
-1,347.31,-1,326.04,-1,-1
303.35,-1,228.9,-1,-1,-1
-1,347.7,9.46,322.42,64.29,163.74
90.46,100.01,106.16,99.54,104.93,123.53
15.69,348.22,17.02,326.43,65.13,-1
102.02,102.52,107.84,97.16,99.54,-1
-1,-1,14.27,326.93,-1,-1
19.9,351.35,15.99,321.69,-1,-1
-1,-1,106.72,99.83,104.12,122.49
304.86,277.88,229.22,-1,-1,-1
-1,-1,228.34,243.36,-1,-1
289.42,287.76,292.86,-1,-1,-1
-1,132.51,131.75,-1,-1,-1
-1,104.01,111.61,96.83,102.22,120.26
-1,-1,292.51,-1,284.68,-1
-1,121.82,-1,116.89,-1,-1
96.12,101.97,292.52,99.39,106.57,131.63
303.44,292.29,293.48,-1,-1,-1
109.34,117.2,120.34,109.1,120.75,138.62
-1,104.22,-1,101.93,119.45,153.97
-1,-1,120.43,92.66,-1,-1
289.47,-1,276.97,-1,226.85,-1
297.23,290.76,-1,-1,-1,-1
96.82,101.35,97.01,72.84,-1,-1
-1,-1,-1,98.7,105.26,125.01
-1,281.54,280.4,-1,-1,-1
-1,269.02,-1,243.94,203.19,210.29
90.93,98.26,-1,101.12,104.23,118.68
293.86,280.56,-1,251.48,-1,-1
288.62,281,279.94,269.3,262.92,252.93
296.17,281.73,270.28,-1,233.38,223.03
298.43,278.57,267.8,257.56,230.81,226.09
298.09,-1,267.1,-1,234.55,240.27
-1,279.88,-1,259.66,-1,-1
299.78,289.97,292.32,257.84,-1,-1
282.39,276.67,271.77,-1,-1,-1
296.98,290.21,293.11,274.98,269.28,-1
295.63,290.17,296.81,275.5,275.38,276.93
-1,104.84,104.67,100.21,106.19,276.67
297.46,282.52,294.68,272.64,278.29,-1
-1,133.06,136.01,130.1,265.76,263.91
-1,118.26,-1,117,-1,-1
-1,287.78,-1,273.88,-1,-1
-1,346.55,14.58,-1,57.6,-1
299.83,291.14,294.12,278.38,-1,-1
-1,290.26,289.96,273.14,181.53,-1
46.25,-1,67.53,123.24,-1,-1
287.47,280.8,-1,326.25,-1,-1
105.5,345.96,16.36,324.04,59.85,159.96
13.11,-1,6.3,-1,-1,-1
284.43,-1,263.51,258.06,225.81,-1
298.22,-1,295.15,276.91,276.36,273.94
41.32,-1,102.64,-1,146.63,-1
-1,-1,-1,-1,146.2,162.64
289.22,251.24,-1,-1,-1,-1
-1,278.02,-1,232.01,195.54,264.65
343.99,-1,228.18,245.8,191.08,196.51
80.48,-1,139.48,176.12,142.87,-1
-1,-1,119.87,127.44,121.91,129.55
-1,114.1,109.04,125.32,-1,-1
-1,137.32,-1,134.68,-1,-1
-1,129.15,-1,223.62,186.43,-1
-1,-1,-1,224.74,185.22,-1
267.8,-1,280.15,-1,262.28,-1
286.6,282.75,-1,270.76,-1,-1
300.18,292.88,291.44,289.73,270.19,-1
-1,-1,-1,117.27,123.82,-1
109.2,-1,105.55,103.39,-1,-1
-1,128.87,133.29,-1,-1,-1
113.62,141.91,135.9,150.37,-1,-1
288.33,281.31,282.42,269.4,264.51,269.54
-1,272.14,-1,117.92,-1,-1
287.74,282.03,-1,-1,-1,-1
-1,100.19,110.2,97.79,99.98,-1
300.12,300.68,294.13,279.84,-1,-1
-1,122.01,123.58,-1,-1,-1
115,126.21,270.26,257.39,-1,-1
296.96,-1,269.76,-1,233.63,228.51
-1,278.93,-1,258.48,-1,-1
-1,-1,-1,246.19,139.3,136.73
-1,261.93,-1,244.01,204.23,-1
-1,252.51,205.53,231.49,196.41,194.58
-1,-1,205.75,233.22,-1,-1
114.67,146.18,-1,-1,-1,-1
-1,-1,-1,127.81,123.39,152.14
11.41,-1,13.79,320.41,-1,-1
111.79,116.3,114.18,116.26,144.17,130.99
94.88,117.44,120.93,-1,107.92,134.71
-1,38.54,-1,260.82,-1,-1
294.7,285.51,145.84,-1,124.36,-1
299.15,289.98,293.14,275.43,-1,-1
-1,131.7,-1,106.59,111.75,-1
-1,97.25,101.48,99.26,102.11,114.18
118.82,143.46,-1,-1,-1,-1
-1,99.79,-1,101.45,-1,-1
96.26,93.96,286.24,70.4,-1,-1
-1,-1,117.36,107.89,106.6,123.98
-1,-1,13.38,310.37,15.63,73.49
