"bearing_1","bearing_2","bearing_3","bearing_4","bearing_5","bearing_6"
21.33,355.32,27.87,NA,71.94,153.18
NA,NA,23.15,304.29,NA,NA
284.38,266.25,289.07,271.75,265.56,261.15
NA,113.04,NA,106.81,111.82,NA
301.96,288.54,291.96,275.86,NA,NA
NA,273.19,281.65,NA,271.16,270.88
296.96,288.82,291.36,277.28,275.15,273.57
NA,NA,73.42,NA,84.94,NA
104.76,107.01,104.21,101.25,107.9,116.1
NA,NA,NA,274.92,266.04,NA
297.91,289.75,287.21,NA,266.36,110.18
103.3,106.2,106.2,100.39,105.94,117.41
308.48,277.64,213.83,NA,NA,NA
278.06,260.07,219.06,237.37,139.57,202.55
278.18,261,232.83,NA,NA,NA
277.73,263.87,214.46,238.78,201.73,201.48
NA,258.36,NA,238.51,NA,NA
NA,NA,222.43,241.43,NA,NA
NA,NA,NA,243.41,198.16,NA
308.84,NA,226.12,NA,NA,NA
NA,276.55,NA,243.51,NA,NA
NA,273.45,224.03,NA,NA,NA
99.16,101.56,106.65,102.34,112.35,128.56
299.48,286.17,268.49,261.48,233.73,218.74
NA,284.04,NA,260.5,NA,NA
350.01,NA,292.6,271.43,268.57,NA
300.49,294.71,294.29,267.34,NA,NA
NA,NA,109.94,100.01,105.23,125.11
NA,NA,NA,NA,100.95,117.43
NA,58.08,NA,70.26,NA,NA
41.9,4.75,196.51,183.64,141.67,NA
NA,NA,105.45,227.6,NA,NA
278.47,NA,216.49,NA,198.99,203.21
94.2,241.41,134.77,238.02,NA,NA
306.47,274.47,287.74,280.25,87.19,99.49
NA,NA,288.99,NA,285.92,NA
306.66,256.12,98.9,105.04,NA,NA
NA,273.26,229.58,238.89,197.31,NA
NA,NA,NA,238.18,195.44,NA
NA,260.07,217.9,238.88,204.53,205.98
NA,NA,290.58,NA,282.52,NA
302.47,292.27,291.47,275.41,266.74,NA
100.61,NA,119.25,107.01,NA,NA
295.86,285.52,293.36,276.58,274.35,NA
96.09,104.45,108.62,99.35,107.82,125.17
297.66,101.38,255.65,99.37,108.12,122.6
108.41,123.21,135.41,260.04,250.32,NA
98.52,288.44,290.63,265.09,273.78,NA
112.63,NA,120.55,115.18,121.28,NA
NA,NA,NA,273.4,272.1,NA
NA,118.43,121.45,NA,NA,NA
106.92,115.67,120.02,NA,113.41,NA
NA,258.6,243.18,NA,NA,NA
295.94,286.05,290.67,274.74,273.05,272.32
111.71,139.72,NA,NA,NA,NA
NA,NA,171.93,222.94,140.98,150.3
NA,272.77,224.88,241.63,203.18,202.53
289.28,259.83,220.35,235.71,203.17,203.59
113.91,142.3,NA,NA,NA,NA
NA,142.9,137.26,NA,NA,NA
52.03,67.87,81.56,NA,NA,NA
NA,347.5,35.56,327.76,27.21,157.61
297.78,280.67,267.06,NA,232.47,NA
NA,69.35,NA,259.44,231.55,NA
60.19,NA,65.44,NA,73.99,272.55
294.71,284.87,293.46,NA,NA,NA
93.07,107.7,118.08,125.53,124.89,NA
