"RMS_received_1","RMS_received_2","RMS_received_3","RMS_received_4","RMS_received_5","RMS_received_6"
97.5,100.72,100.13,NA,84.88,104.62
NA,NA,97.13,74.38,NA,NA
75.31,76.68,89.98,87.63,85.46,80.62
NA,80.68,NA,81.87,79.33,NA
82.45,79.59,79.35,80.08,NA,NA
NA,76.41,78.57,NA,76.82,75.07
79.82,77.89,77.95,77.69,75.81,75.95
NA,NA,78.37,NA,81.4,NA
78.04,79.73,73.47,79.25,77.52,78.86
NA,NA,NA,81.33,79.19,NA
81.37,77.11,77.24,NA,80.4,75.21
79.67,79.18,70.49,80.24,78.06,79.71
84.78,81.39,85.88,NA,NA,NA
94.77,83.85,86.49,80.75,78.4,75.7
86.21,82.34,78.88,NA,NA,NA
95.57,89.27,87.49,83.47,75.9,78.7
NA,84.97,NA,79.91,NA,NA
NA,NA,90.44,86.9,NA,NA
NA,NA,NA,79.31,70.09,NA
81.32,NA,83.16,NA,NA,NA
NA,80.99,NA,74.64,NA,NA
NA,81.66,85.45,NA,NA,NA
81.25,78.33,83,82.78,80.38,79.85
88.7,85.87,90.19,85.27,87.05,81.98
NA,87.3,NA,85.46,NA,NA
79.22,NA,71.36,71.39,73.73,NA
82.8,79.86,79.04,80.67,NA,NA
NA,NA,77.64,84.43,81.61,82.45
NA,NA,NA,NA,80.42,80.99
NA,79.26,NA,77.81,NA,NA
79,73.41,95.54,74.68,74.47,NA
NA,NA,94.68,90.82,NA,NA
93.78,NA,85.26,NA,75.88,76.85
77.6,85.68,77.75,80.14,NA,NA
84.8,80.55,70.03,72.64,71.92,73.08
NA,NA,75.21,NA,71,NA
91.51,77.04,74.22,75.32,NA,NA
NA,86.12,76.55,74.81,67.56,NA
NA,NA,NA,81.01,76.93,NA
NA,88.55,90.64,81.13,85.21,76.33
NA,NA,77.02,NA,74.99,NA
83.34,80.6,82.79,81.33,85.24,NA
76.04,NA,69.48,72.02,NA,NA
75.91,73,76.9,71.4,75.06,NA
76.55,79.95,76.88,82.67,81.05,80.3
80.68,77.82,82.62,80.31,79.8,81.27
77.9,85.35,82.53,77.8,78.46,NA
71.64,76.86,79.26,77.32,75.41,NA
82.29,NA,78.77,79.05,78.99,NA
NA,NA,NA,76.56,78.52,NA
NA,82.52,80.81,NA,NA,NA
76.05,80.23,78.11,NA,75.43,NA
NA,79.68,77.7,NA,NA,NA
83.41,80.2,81.2,79.58,81.63,78.86
75.34,77.72,NA,NA,NA,NA
NA,NA,84.3,88.93,76.86,75.01
NA,86.75,95.4,85.83,80.23,84.6
93.31,77.83,73.48,73.04,71.19,72.14
85.55,84.41,NA,NA,NA,NA
NA,82.33,69.57,NA,NA,NA
80.18,79.55,78.37,NA,NA,NA
NA,91.23,70.5,101.23,76.12,102.79
87.78,84.19,87.86,NA,82.27,NA
NA,74.24,NA,83.61,81.39,NA
75.9,NA,78.84,NA,81.05,80.26
82.26,79.22,79.63,NA,NA,NA
81.85,85.01,78.12,78.72,79.24,NA
85.33,88.76,85.5,85.09,79.73,76.58
NA,77.46,69.32,74.4,73.55,NA
NA,NA,NA,75.32,77.06,77.5
NA,94.75,95.64,75.24,NA,NA
80.94,78.04,80.96,NA,NA,NA
93.93,97.27,101.05,74.76,NA,NA
NA,NA,NA,NA,78.17,77.29
NA,NA,77.14,NA,78.53,NA
78.9,80.18,78.24,78.56,NA,NA
